Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self               self     total           
 time   seconds   seconds     calls   s/call   s/call  name    
  0.64      2.74     0.02   3805476     0.00     0.00  std::vector<tile, std::allocator<tile> >::_M_move_assign(std::vector<tile, std::allocator<tile> >&&, std::integral_constant<bool, true>)
  0.64      2.76     0.02   3247137     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::end()
  0.64      2.78     0.02   3190573     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::push_back(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.64      2.80     0.02    113128     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__relocate_a_1<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.32      2.81     0.01  47299060     0.00     0.00  __gnu_cxx::__normal_iterator<tile*, std::vector<tile, std::allocator<tile> > >::base() const
  0.32      2.82     0.01  23618102     0.00     0.00  __gnu_cxx::__normal_iterator<tile*, std::vector<tile, std::allocator<tile> > >::__normal_iterator(tile* const&)
  0.32      2.83     0.01  23500154     0.00     0.00  __gnu_cxx::new_allocator<tile>::max_size() const
  0.32      2.84     0.01  23500154     0.00     0.00  std::allocator_traits<std::allocator<tile> >::max_size(std::allocator<tile> const&)
  0.32      2.85     0.01  23489152     0.00     0.00  std::vector<tile, std::allocator<tile> >::_S_do_relocate(tile*, tile*, tile*, std::allocator<tile>&, std::integral_constant<bool, true>)
  0.32      2.86     0.01  20279070     0.00     0.00  __gnu_cxx::new_allocator<tile>::deallocate(tile*, unsigned long)
  0.32      2.87     0.01  20279070     0.00     0.00  std::allocator_traits<std::allocator<tile> >::deallocate(std::allocator<tile>&, tile*, unsigned long)
  0.32      2.88     0.01  20279070     0.00     0.00  std::allocator_traits<std::allocator<tile> >::allocate(std::allocator<tile>&, unsigned long)
  0.32      2.89     0.01  17416844     0.00     0.00  __gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >::base() const
  0.32      2.90     0.01  17125576     0.00     0.00  tile const* std::__niter_base<tile const*, std::vector<tile, std::allocator<tile> > >(__gnu_cxx::__normal_iterator<tile const*, std::vector<tile, std::allocator<tile> > >)
  0.32      2.91     0.01  16963118     0.00     0.00  void std::allocator_traits<std::allocator<tile> >::construct<tile, tile const&>(std::allocator<tile>&, tile*, tile const&)
  0.32      2.92     0.01  12273960     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl::_Vector_impl(std::allocator<tile> const&)
  0.32      2.93     0.01  11801140     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.32      2.94     0.01  11783872     0.00     0.00  std::vector<tile, std::allocator<tile> >::end()
  0.32      2.95     0.01   7787754     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.32      2.96     0.01   7787754     0.00     0.00  void std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.32      2.97     0.01   7787754     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
